Age,Games Played,Games Started,3-Point Field Goals Per Game,Free Throws Per Game,Offensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game
28,33,0,0.8,0.4,0.2,2.1,0.6,0.3
26,80,1,0.5,2.1,1.5,1.2,0.5,0.3
21,66,9,1.1,1.1,1.0,0.9,0.6,0.4
25,11,0,0.0,0.4,1.1,0.5,0.3,1.6
21,6,0,0.5,0.8,1.7,0.7,0.8,0.7
27,77,77,1.5,3.2,1.5,1.3,0.5,1.9
23,7,1,0.7,1.0,1.6,0.3,0.9,0.6
26,66,1,0.9,1.0,0.8,1.9,0.7,0.2
23,45,2,0.5,0.4,0.3,0.5,0.2,0.2
24,15,0,0.5,0.3,0.5,0.7,0.2,0.1
24,81,14,2.1,1.3,0.9,1.3,0.8,0.9
24,71,71,0.0,1.5,2.7,2.1,0.6,2.1
26,67,51,0.0,2.0,2.6,0.8,0.4,1.1
19,51,0,1.2,0.3,0.4,1.2,0.2,0.1
25,82,20,1.6,0.6,0.4,2.5,0.8,0.5
35,60,38,1.2,0.3,1.2,2.1,0.8,0.6
28,79,79,1.1,4.5,2.8,9.0,1.4,0.9
20,46,38,1.4,0.7,0.5,2.0,0.5,0.3
33,76,74,1.2,1.4,2.8,3.3,0.7,0.8
19,23,4,0.5,0.9,1.1,0.8,0.3,0.7
30,76,3,2.2,1.9,0.2,1.1,0.6,0.3
26,50,50,2.0,1.3,0.9,2.1,1.4,0.7
25,82,28,1.2,0.9,1.0,1.6,0.6,0.5
23,78,28,0.8,0.5,0.9,1.1,0.6,0.6
24,15,0,0.1,0.7,0.7,0.1,0.0,0.5
21,40,1,0.3,0.7,0.6,0.6,0.2,0.1
25,48,12,0.1,0.4,1.5,0.6,0.2,0.4
24,23,1,0.5,0.2,0.3,0.6,0.1,0.1
23,55,8,0.4,1.7,2.6,1.3,0.5,1.1
23,36,7,0.2,0.5,0.8,0.9,0.2,0.2
25,55,1,0.3,0.9,1.1,0.8,0.3,0.1
30,15,1,0.5,0.2,0.4,0.5,0.3,0.3
20,33,0,0.6,0.4,0.3,1.1,0.2,0.2
38,31,10,0.4,0.1,0.9,0.5,0.5,0.2
25,73,45,1.8,1.4,1.2,1.9,1.0,0.8
21,80,80,1.5,5.1,1.0,5.4,0.9,0.6
29,80,80,1.1,3.6,1.7,4.3,0.8,0.3
31,76,3,1.1,0.6,0.7,2.1,0.5,0.3
21,38,7,0.8,0.5,0.4,0.8,0.5,0.4
35,73,13,0.8,1.0,0.7,2.9,0.6,0.4
22,43,30,1.4,1.2,1.1,1.5,0.9,0.8
35,32,5,0.8,0.3,0.3,1.1,0.6,0.0
33,74,74,3.3,3.6,0.5,3.5,1.5,0.5
24,82,24,0.3,0.7,2.4,1.3,0.8,1.0
26,82,5,1.8,0.6,0.9,3.4,0.5,0.1
23,8,0,0.1,0.0,0.0,0.0,0.1,0.0
21,80,4,0.6,0.9,0.7,1.1,0.5,1.1
24,74,18,0.4,0.9,2.6,1.3,0.6,0.9
23,51,18,1.6,0.7,0.3,1.3,0.7,0.1
22,8,2,0.1,0.1,0.3,1.0,0.0,0.0
23,58,58,1.6,3.6,0.9,3.3,0.5,0.4
19,39,12,0.7,0.5,0.6,1.6,0.3,0.1
32,44,0,0.6,0.0,0.1,0.3,0.3,0.1
33,82,23,1.2,1.0,0.4,3.8,0.5,0.2
30,40,10,0.0,0.9,1.8,0.6,0.3,0.5
22,32,0,0.4,1.7,0.4,0.5,0.3,0.0
33,29,6,0.7,0.8,1.1,0.8,1.3,0.6
35,16,2,0.1,0.1,0.2,0.3,0.1,0.2
30,79,14,2.0,0.3,0.8,2.8,0.7,0.6
31,76,76,0.0,3.3,3.8,1.3,0.7,2.1
25,68,39,1.4,1.5,0.9,1.2,0.6,0.4
35,68,11,0.6,1.6,1.4,4.5,1.1,0.3
21,13,0,0.2,1.0,0.2,1.1,0.8,0.2
24,24,0,0.1,1.2,0.4,1.3,0.3,0.1
24,63,51,1.8,2.7,2.7,1.5,0.8,0.2
26,79,13,2.5,0.2,0.6,1.0,0.5,0.3
27,61,1,2.3,0.4,0.4,1.8,0.3,0.1
24,46,5,0.4,0.5,1.0,1.1,0.2,0.3
23,61,35,1.7,0.9,1.2,2.3,0.7,0.9
28,42,0,1.1,0.3,0.7,0.5,0.5,0.2
19,62,32,1.4,2.7,0.9,5.4,0.8,0.2
22,60,60,1.7,3.3,2.4,6.1,1.3,1.5
23,21,16,1.4,2.0,1.0,4.7,1.7,0.5
33,44,4,0.9,0.6,0.4,1.0,0.5,0.1
23,9,0,0.3,0.3,0.1,0.0,0.0,0.0
20,32,25,1.9,3.1,1.3,2.9,0.9,0.4
25,75,75,1.3,7.6,0.9,6.2,2.0,0.9
27,48,0,0.4,0.8,0.3,1.3,0.4,0.1
